ID,D,T,AtmPr,WindD,WindS,Gust,WaveH,WaveP,WaveD,Hmax,AirT,SeaT,Hum,Code
A2,57,14,1004.382,322,13.776,19.013,1.016,4.336,350,1.406,6.797,9.086,63.184,0.0
A2,57,15,1005.066,326,17.077,23.794,1.172,4.336,354,1.719,6.406,9.097,63.379,0.0
A2,57,16,1005.774,320,10.36,13.889,1.172,4.219,3,1.719,6.748,9.108,60.449,0.0
A2,57,17,1006.274,324,16.622,30.17,1.094,3.984,356,1.406,7.285,9.102,62.988,0.0
A2,57,18,1007.544,335,16.28,26.868,1.25,3.75,6,1.875,7.09,9.095,64.355,0.0
A2,57,19,1008.496,321,16.28,21.745,1.172,3.633,359,1.563,7.188,9.075,62.695,0.0
A2,57,20,1009.583,324,16.053,20.834,1.25,3.75,352,1.719,7.48,9.069,61.523,0.0
A2,57,21,1010.461,326,17.419,23.225,1.172,3.75,346,1.563,7.236,9.062,64.063,0.0
A2,57,22,1011.206,336,17.077,24.136,1.406,3.984,346,2.031,6.992,9.067,66.113,0.0
A2,57,23,1012.146,328,15.711,20.606,1.484,4.336,353,2.031,6.846,9.064,64.258,0.0
A2,58,0,1012.952,318,15.028,19.126,1.484,4.57,354,1.875,6.455,9.049,68.848,0.0
A2,58,1,1013.562,298,15.142,19.354,1.328,4.57,0,2.5,6.162,9.051,74.316,0.0
A2,58,2,1013.806,307,16.508,22.086,1.25,4.453,353,1.719,5.869,9.042,75.488,0.0
A2,58,3,1014.233,307,15.142,20.265,1.328,4.453,347,1.719,5.918,9.055,77.344,0.0
A2,58,4,1014.526,309,14.914,20.037,1.328,4.336,350,2.031,5.527,9.071,77.148,0.0
A2,58,5,1014.941,300,16.166,21.631,1.484,4.219,326,2.344,5.332,9.077,79.492,0.0
A2,58,6,1015.332,294,16.508,21.745,1.328,4.102,332,1.719,5.479,9.082,78.906,0.0
A2,58,7,1016.125,299,16.622,21.517,1.25,3.867,330,2.656,5.527,9.047,79.785,0.0
A2,58,8,1016.565,300,16.166,20.379,1.172,3.75,319,1.406,5.381,9.051,78.906,0.0
A2,58,9,1016.821,312,15.142,20.379,1.094,3.867,318,1.563,5.43,9.053,75.684,0.0
A2,58,10,1017.615,301,14.231,19.582,1.094,3.75,307,1.719,5.869,9.064,78.711,0.0
A2,58,11,1018.164,307,12.409,17.533,1.094,3.867,293,1.406,6.113,9.093,73.145,0.0
A2,58,12,1018.286,294,9.449,12.865,0.938,3.984,305,1.25,6.602,9.137,69.238,0.0
A2,58,13,1018.579,299,9.108,11.612,0.859,3.984,291,1.094,6.895,9.19,61.133,0.0
A2,58,14,1018.359,296,5.237,8.425,0.781,4.336,285,1.25,7.334,9.265,57.324,0.0
A2,58,15,1018.115,289,1.935,5.123,0.625,4.102,314,0.938,8.115,9.298,50.195,0.0
